seriesuid,width,height,slice,vcoordX,vcoordY,vcoordZ
656451,313,313,295,49.0,167.0,32.0
656451,313,313,295,35.0,165.0,259.0
656451,313,313,295,106.0,90.0,32.0
700291,426,426,315,301.0,95.0,32.0
700291,426,426,315,390.0,164.0,272.0
700291,426,426,315,394.0,156.0,283.0
700291,426,426,315,394.0,236.0,283.0
524067,330,330,330,38.0,32.0,296.0
524067,330,330,330,32.0,96.0,298.0
524067,330,330,330,161.0,220.0,293.0
524067,330,330,330,163.0,220.0,295.0
524067,330,330,330,163.0,280.0,152.0
524067,330,330,330,169.0,295.0,298.0
524067,330,330,330,169.0,296.0,298.0
524067,330,330,330,223.0,277.0,162.0
524067,330,330,330,228.0,278.0,224.0
524067,330,330,330,229.0,279.0,290.0
524067,330,330,330,229.0,278.0,298.0
524067,330,330,330,229.0,282.0,298.0
524067,330,330,330,230.0,282.0,298.0
524067,330,330,330,277.0,214.0,287.0
524067,330,330,330,279.0,213.0,288.0
639536,415,415,315,41.000000000000036,170.0,170.0
639536,415,415,315,32.0,286.0,283.0
639536,415,415,315,35.0,296.0,279.0
639536,415,415,315,173.00000000000003,232.0,32.0
639536,415,415,315,221.00000000000003,105.0,32.0
639536,415,415,315,225.00000000000003,163.0,32.0
639536,415,415,315,224.00000000000003,300.0,32.0
655992,350,350,365,160.0,313.0,326.0
655992,350,350,365,288.0,316.0,325.0
655992,350,350,365,318.0,289.0,296.0
655992,350,350,365,313.0,310.0,324.0
697125,317,317,304,81.0,104.0,33.0
697125,317,317,304,103.0,220.0,32.0
697125,317,317,304,158.0,84.0,110.0
697125,317,317,304,173.0,285.0,272.0
697125,317,317,304,234.0,81.0,32.0
684662,350,350,300,32.0,168.0,268.0
647572,365,365,325,32.0,291.0,285.0
647572,365,365,325,94.0,95.0,32.0
647572,365,365,325,102.0,310.0,281.0
647572,365,365,325,170.0,100.0,38.0
647572,365,365,325,160.0,103.0,99.0
647572,365,365,325,161.0,152.0,32.0
647572,365,365,325,169.0,155.0,33.0
647572,365,365,325,154.0,234.0,32.0
647572,365,365,325,149.0,333.0,289.0
647572,365,365,325,148.0,331.0,292.0
647572,365,365,325,217.0,106.0,32.0
647572,365,365,325,228.0,158.0,161.0
647572,365,365,325,292.0,88.0,101.0
647572,365,365,325,294.0,170.0,156.0
647572,365,365,325,287.0,231.0,36.0
647572,365,365,325,300.0,233.0,32.0
647572,365,365,325,298.0,213.0,88.0
647572,365,365,325,288.0,220.0,150.0
647572,365,365,325,333.0,171.0,42.0
647572,365,365,325,333.0,161.0,42.0
647572,365,365,325,333.0,160.0,96.0
647572,365,365,325,333.0,171.0,104.0
647572,365,365,325,333.0,175.0,163.0
647572,365,365,325,333.0,152.0,156.0
647572,365,365,325,333.0,161.0,224.0
647572,365,365,325,326.0,160.0,284.0
647572,365,365,325,326.0,161.0,286.0
647572,365,365,325,333.0,219.0,92.0
647572,365,365,325,333.0,286.0,276.0
690219,372,372,310,43.0,155.0,88.0
690219,372,372,310,101.0,86.0,105.0
690219,372,372,310,149.0,339.0,235.0
631079,350,350,225,312.0,84.0,87.0
379589,367,367,280,93.0,231.0,248.0
379589,367,367,280,170.0,165.0,248.0
379589,367,367,280,155.0,300.0,230.0
379589,367,367,280,159.0,293.0,248.0
379589,367,367,280,236.0,169.0,248.0
379589,367,367,280,217.0,225.0,34.0
379589,367,367,280,232.0,287.0,221.0
379589,367,367,280,215.0,286.0,248.0
379589,367,367,280,285.0,148.0,237.0
379589,367,367,280,293.0,158.0,248.0
379589,367,367,280,284.0,220.0,32.0
689503,350,350,245,157.0,99.0,103.0
689503,350,350,245,157.0,153.0,213.0
689503,350,350,245,230.0,95.0,95.0
689503,350,350,245,222.0,109.0,153.0
689503,350,350,245,292.0,159.0,211.0
689503,350,350,245,318.0,156.0,32.0
689503,350,350,245,315.0,165.0,88.0
689503,350,350,245,318.0,159.0,156.0
688368,302,302,260,263.0,101.0,41.0
661690,362,362,345,96.0,154.0,97.0
661690,362,362,345,144.0,292.0,313.0
661690,362,362,345,165.0,301.0,313.0
661690,362,362,345,223.0,37.0,34.0
661690,362,362,345,227.0,84.0,294.0
661690,362,362,345,218.0,92.0,308.0
661690,362,362,345,233.0,104.0,313.0
661690,362,362,345,301.0,95.0,313.0
696524,413,413,360,46.0,154.0,37.0
696524,413,413,360,32.0,165.0,153.0
696524,413,413,360,97.0,87.0,101.0
696524,413,413,360,91.0,236.0,318.0
696524,413,413,360,170.0,295.0,298.0
696524,413,413,360,159.0,289.0,324.0
696524,413,413,360,222.0,91.0,32.0
696524,413,413,360,232.0,164.0,327.0
696524,413,413,360,216.0,296.0,283.0
696524,413,413,360,236.0,295.0,320.0
696524,413,413,360,355.0,162.0,287.0
696524,413,413,360,357.0,171.0,317.0
696524,413,413,360,374.0,163.0,225.0
696524,413,413,360,370.0,165.0,288.0
696524,413,413,360,374.0,163.0,327.0
655607,296,296,265,39.0,162.0,233.0
655607,296,296,265,39.0,164.0,233.0
655607,296,296,265,34.0,212.0,98.0
655607,296,296,265,94.0,152.0,233.0
655607,296,296,265,111.0,153.0,232.0
655607,296,296,265,96.0,231.0,32.0
655607,296,296,265,159.0,108.0,216.0
655607,296,296,265,165.0,158.0,213.0
655607,296,296,265,234.0,158.0,227.0
655607,296,296,265,234.0,159.0,227.0
655607,296,296,265,253.0,150.0,233.0
689413,345,345,285,34.0,98.0,253.0
689413,345,345,285,35.0,160.0,218.0
689413,345,345,285,32.0,237.0,98.0
689413,345,345,285,32.0,224.0,225.0
689413,345,345,285,32.0,212.0,242.0
689413,345,345,285,32.0,229.0,252.0
689413,345,345,285,100.0,290.0,253.0
689413,345,345,285,89.0,310.0,169.0
689413,345,345,285,101.0,313.0,228.0
689413,345,345,285,104.0,301.0,247.0
689413,345,345,285,162.0,313.0,249.0
689413,345,345,285,227.0,145.0,211.0
689413,345,345,285,219.0,165.0,253.0
689413,345,345,285,212.0,232.0,36.0
689413,345,345,285,231.0,274.0,34.0
689413,345,345,285,222.0,275.0,157.0
689413,345,345,285,237.0,289.0,253.0
689413,345,345,285,222.0,307.0,253.0
689413,345,345,285,279.0,158.0,40.0
689413,345,345,285,302.0,158.0,253.0
689413,345,345,285,284.0,213.0,249.0
689413,345,345,285,290.0,281.0,157.0
689413,345,345,285,279.0,305.0,32.0
689413,345,345,285,313.0,97.0,253.0
689413,345,345,285,313.0,155.0,220.0
686512,403,403,325,42.0,216.0,281.0
686512,403,403,325,42.0,216.0,281.0
686512,403,403,325,86.0,147.0,32.0
686512,403,403,325,96.0,226.0,91.0
686512,403,403,325,151.0,99.0,92.0
686512,403,403,325,169.0,96.0,92.0
686512,403,403,325,155.0,151.0,32.0
686512,403,403,325,158.0,169.0,159.0
686512,403,403,325,151.0,222.0,38.0
686512,403,403,325,159.0,227.0,32.0
686512,403,403,325,169.0,223.0,32.0
686512,403,403,325,160.0,214.0,279.0
686512,403,403,325,171.0,224.0,281.0
686512,403,403,325,171.0,224.0,282.0
686512,403,403,325,160.0,283.0,293.0
686512,403,403,325,160.0,284.0,293.0
686512,403,403,325,226.0,97.0,105.0
686512,403,403,325,214.0,97.0,169.0
686512,403,403,325,220.0,164.0,32.0
686512,403,403,325,213.0,164.0,213.0
686512,403,403,325,221.0,165.0,220.0
686512,403,403,325,237.0,163.0,284.0
686512,403,403,325,237.0,163.0,285.0
686512,403,403,325,226.0,206.0,32.0
686512,403,403,325,288.0,108.0,40.0
686512,403,403,325,286.0,148.0,90.0
686512,403,403,325,285.0,159.0,103.0
686512,403,403,325,279.0,217.0,33.0
686512,403,403,325,290.0,214.0,32.0
686512,403,403,325,293.0,232.0,32.0
686512,403,403,325,299.0,216.0,282.0
686512,403,403,325,289.0,220.0,290.0
686512,403,403,325,299.0,216.0,282.0
686512,403,403,325,295.0,296.0,293.0
686512,403,403,325,342.0,162.0,32.0
686512,403,403,325,362.0,223.0,281.0
686512,403,403,325,363.0,220.0,293.0
686512,403,403,325,362.0,221.0,293.0
686512,403,403,325,362.0,223.0,283.0
686512,403,403,325,362.0,224.0,282.0
686512,403,403,325,363.0,220.0,293.0
686512,403,403,325,363.0,221.0,293.0
686512,403,403,325,363.0,223.0,283.0
655719,363,363,328,47.0,172.0,226.00000000000009
655719,363,363,328,32.0,220.0,32.0
655719,363,363,328,158.0,289.0,281.00000000000006
655719,363,363,328,296.0,95.0,100.00000000000006
655719,363,363,328,326.0,157.0,32.0
655719,363,363,328,331.0,215.0,278.00000000000006
648008,350,350,205,32.000000000000036,286.0,168.0
648008,350,350,205,32.000000000000036,286.0,169.0
648008,350,350,205,230.0,214.0,32.0
648008,350,350,205,221.0,221.0,160.0
648008,350,350,205,219.0,220.0,165.0
648008,350,350,205,226.0,312.0,156.0
648008,350,350,205,281.0,103.0,32.0
648008,350,350,205,277.0,161.0,159.0
648008,350,350,205,284.0,160.0,170.0
648008,350,350,205,289.0,299.0,155.0
648008,350,350,205,280.0,303.0,155.0
648008,350,350,205,313.0,155.0,94.0
648008,350,350,205,318.0,152.0,160.0
648008,350,350,205,312.0,149.0,169.0
648008,350,350,205,307.0,292.0,155.0
648008,350,350,205,318.0,280.0,160.0
648008,350,350,205,318.0,280.0,161.0
696778,356,356,266,97.0,324.0,97.0
696778,356,356,266,96.0,324.0,160.0
696778,356,356,266,97.0,324.0,226.0
696778,356,356,266,97.0,324.0,233.0
696778,356,356,266,234.0,225.0,227.0
696778,356,356,266,234.0,226.0,227.0
