seriesuid,width,height,slice,originX,originY,originZ,spacingX,spacingY,spacingZ,segmented_lung,segmented_medi
689704,350,350,285,-175.38449096679688,-174.658203125,-346.053955078125,0.68359375,0.68359375,5.0,0.12563348370927319,0.9222123308270677
680464,350,350,300,-174.658203125,-174.658203125,1195.95361328125,0.68359375,0.68359375,5.0,0.1593727074829932,0.9474581768707483
651264,350,350,295,-162.31118774414062,-174.658203125,-91.1861572265625,0.68359375,0.68359375,5.0,0.14875007955724662,0.901728951919751
401934,360,360,265,-174.0,-180.0,-760.4000244140625,0.703125,0.703125,5.000000476837158,0.15044651176333565,0.9463970416957839
389624,400,400,296,-205.66299438476562,-199.80430603027344,-816.5,0.7820000052452087,0.7820000052452087,8.0,0.09855857263513514,0.9553681587837838
647208,357,357,301,-178.53700256347656,-178.53729248046875,-987.5,0.6980000138282776,0.6980000138282776,7.0,0.14478558018217383,0.9047600539792492
639366,381,381,335,-185.77015686035156,-190.1279296875,-825.1876220703125,0.744140625,0.744140625,5.0,0.14194376249449017,0.9436440464920731
631252,350,350,330,-186.27894592285156,-174.658203125,-113.8408203125,0.68359375,0.68359375,5.0,0.14538285714285715,0.8849428324056895
648020,350,350,252,-154.0,-16.799999237060547,-169.49000549316406,0.68359375,0.68359375,3.0,0.09608231292517007,0.9476701004211209
655457,306,306,230,-176.41900634765625,-152.806396484375,-900.5,0.5979999899864197,0.5979999899864197,5.0,0.11448504569962872,0.9253514998876314
682280,384,384,305,-192.35130310058594,-191.625,-99.7479248046875,0.75,0.75,5.0,0.16343827377903006,0.9123087565104167
655458,350,350,325,-175.38449096679688,-174.658203125,-322.3214111328125,0.68359375,0.68359375,5.0,0.16733503296703298,0.8993005714285714
542611,369,369,285,-160.77200317382812,-184.2097930908203,-1106.5,0.7210000157356262,0.7210000157356262,5.0,0.1483354908669136,0.9195804450793997
688407,335,335,310,-156.1728515625,-307.1728515625,-588.5,0.654296875,0.654296875,5.0,0.19392243405025905,0.9414056151596375
658798,350,350,290,-169.57412719726562,-174.658203125,-138.52685546875,0.68359375,0.68359375,5.0,0.11490944405348347,0.9295480928923293
656461,350,350,305,-173.93191528320312,-174.658203125,-55.4312744140625,0.68359375,0.68359375,5.0,0.14354015389762462,0.902831662763466
689507,350,350,325,-179.0159912109375,-174.658203125,-448.083984375,0.68359375,0.68359375,5.0,0.18357721821036108,0.9077918744113029
657093,345,345,285,-172.1630859375,-299.1630859375,-302.70001220703125,0.673828125,0.673828125,5.0,0.13534971644612476,0.9144445992106921
527764,313,313,335,-167.89999389648438,-156.5,-742.9000244140625,0.611328125,0.611328125,5.000000476837158,0.1974149300654502,0.9111268672712949
664753,361,361,345,-178.1474609375,-310.1474609375,-403.1000061035156,0.705078125,0.705078125,5.0,0.16670813617523464,0.9463923251271749
501140,380,380,250,-196.0,-190.0,-247.0,0.7421875,0.7421875,5.0,0.1273395567867036,0.9302954570637119
695661,350,350,295,-169.5741424560547,-174.658203125,1223.478759765625,0.68359375,0.68359375,5.0,0.18311861639571084,0.9415164579730197
696657,377,377,330,-174.43600463867188,-188.1083984375,-977.0,0.7360000014305115,0.7360000014305115,5.0,0.12834094165842086,0.9339503997328931
